tmd_gravy,tail_charge
2.206,-0.1
1.539,-1.1
1.539,-1.1
2.113,0.1
1.257,-0.1
2.385,-1.1
1.452,-0.1
2.167,0.9
2.01,2.9
2.375,0.9
1.426,-0.1
1.8,3.4
1.348,-0.6
1.296,-0.1
2.4,-0.1
1.757,-5.1
1.57,2.1
2.17,-2.1
1.92,3.1
2.177,-0.1
1.883,-1.1
2.113,-0.1
1.883,-0.1
1.939,3.9
2.422,0.9
3.27,-0.1
2.139,-1.1
2.039,-2.1
1.835,2.1
2.022,1.2
1.874,-0.1
2.374,-0.1
2.009,3.9
1.378,-0.1
1.957,-0.1
2.117,-0.1
1.991,0.9
1.704,7.1
1.426,1.1
1.674,-0.1
1.317,-0.8
1.3,-0.1
1.667,4.4
