tmd_gravy,tail_charge
1.6,0.9
2.84,-0.1
1.591,3.9
2.644,2.9
2.49,0.9
1.646,-4.1
2.13,-1.1
2.583,-1.1
2.935,-1.8
1.6,-0.1
3.011,1.9
2.415,0.9
2.895,0.9
1.58,-0.1
1.513,3.9
2.691,0.9
2.257,1.2
1.98,-0.1
1.339,0.9
0.735,0.9
1.874,0.9
2.504,1.9
2.122,4.9
2.291,2.9
2.222,0.9
3.167,-0.1
1.752,2.9
2.378,1.1
2.53,3.9
2.505,-0.1
1.461,-0.1
1.863,3.9
2.195,4.9
1.963,3.9
1.795,0.9
2.432,-0.1
2.37,1.9
2.239,2.9
2.545,0.9
2.096,2.9
1.785,-0.1
1.761,-0.1
1.9,0.9
2.839,-0.1
3.574,1.9
2.583,3.9
2.17,-1.1
2.415,2.9
2.291,0.9
1.243,6.9
3.035,0.9
1.852,-0.1
1.726,4.9
1.957,0.9
2.126,0.9
3.589,3.9
1.996,-0.1
1.93,0.9
1.989,3.9
2.204,-0.1
2.748,2.9
3.056,0.9
