GRAVY	CHARGE
2.04	-3.1
1.19	-2.8
2.07	-2.1
1.84	-2.1
1.04	-2.1
2.25	-1.9
2.09	-1.8
3.07	-1.1
2.63	-1.1
2.45	-1.1
2.09	-1.1
2.09	-1.1
2.07	-1.1
1.96	-1.1
1.90	-1.1
1.71	-1.1
1.70	-1.1
1.62	-1.1
1.57	-1.1
2.17	-0.8
1.83	-0.8
2.28	-0.6
1.44	-0.6
2.31	-0.2
1.00	-0.1
0.63	-0.1
3.45	-0.1
3.30	-0.1
3.29	-0.1
3.28	-0.1
3.22	-0.1
3.13	-0.1
3.09	-0.1
3.07	-0.1
2.96	-0.1
2.82	-0.1
2.78	-0.1
2.76	-0.1
2.73	-0.1
2.65	-0.1
2.59	-0.1
2.58	-0.1
2.58	-0.1
2.48	-0.1
2.48	-0.1
2.41	-0.1
2.40	-0.1
2.40	-0.1
2.40	-0.1
2.34	-0.1
2.31	-0.1
2.27	-0.1
2.22	-0.1
2.21	-0.1
2.20	-0.1
2.19	-0.1
2.19	-0.1
2.18	-0.1
2.08	-0.1
2.08	-0.1
2.06	-0.1
2.04	-0.1
2.04	-0.1
2.02	-0.1
2.00	-0.1
1.94	-0.1
1.94	-0.1
1.94	-0.1
1.90	-0.1
1.90	-0.1
1.87	-0.1
1.84	-0.1
1.79	-0.1
1.79	-0.1
1.72	-0.1
1.68	-0.1
1.68	-0.1
1.67	-0.1
1.63	-0.1
1.62	-0.1
1.60	-0.1
1.60	-0.1
1.57	-0.1
1.51	-0.1
1.49	-0.1
1.46	-0.1
1.31	-0.1
1.23	-0.1
1.18	-0.1
1.16	-0.1
1.01	-0.1
3.53	0
2.42	0
1.89	0
1.84	0
1.59	0
1.46	0
3.00	0.1
2.59	0.1
2.57	0.1
2.41	0.1
2.41	0.1
2.41	0.1
2.34	0.1
2.17	0.1
1.16	0.1
2.89	0.2
2.89	0.2
1.33	0.4
3.60	0.9
2.88	0.9
2.87	0.9
2.82	0.9
2.68	0.9
2.59	0.9
2.59	0.9
2.54	0.9
2.36	0.9
2.35	0.9
2.26	0.9
2.09	0.9
2.05	0.9
2.04	0.9
2.02	0.9
2.02	0.9
1.98	0.9
1.97	0.9
1.91	0.9
1.85	0.9
1.85	0.9
1.85	0.9
1.85	0.9
1.75	0.9
1.67	0.9
1.67	0.9
1.66	0.9
1.66	0.9
1.62	0.9
1.59	0.9
1.53	0.9
1.25	0.9
1.25	0.9
1.23	0.9
1.19	0.9
1.14	0.9
2.53	1.1
2.53	1.1
2.19	1.1
2.10	1.1
1.85	1.1
1.61	1.1
1.95	1.8
0.77	1.9
3.89	1.9
3.89	1.9
3.48	1.9
3.11	1.9
3.10	1.9
3.01	1.9
3.00	1.9
2.98	1.9
2.96	1.9
2.96	1.9
2.64	1.9
2.64	1.9
2.64	1.9
2.62	1.9
2.57	1.9
2.57	1.9
2.53	1.9
2.45	1.9
2.37	1.9
2.30	1.9
2.29	1.9
2.15	1.9
2.12	1.9
2.08	1.9
2.05	1.9
1.98	1.9
1.94	1.9
1.90	1.9
1.87	1.9
1.85	1.9
1.82	1.9
1.82	1.9
1.45	1.9
1.43	1.9
1.32	1.9
1.30	1.9
1.30	1.9
1.30	1.9
1.28	1.9
1.28	1.9
1.22	1.9
1.15	1.9
2.84	2.1
2.56	2.1
1.52	2.2
0.90	2.9
2.94	2.9
2.94	2.9
2.94	2.9
2.94	2.9
2.94	2.9
2.94	2.9
2.66	2.9
2.60	2.9
2.42	2.9
2.15	2.9
2.10	2.9
1.99	2.9
1.70	2.9
1.66	2.9
1.63	2.9
1.28	2.9
2.29	3.1
2.15	3.1
2.01	3.1
3.22	3.2
2.07	3.2
2.63	3.4
2.29	3.6
2.61	3.8
2.07	3.9
1.99	3.9
1.93	3.9
1.93	3.9
1.86	3.9
1.86	3.9
1.54	3.9
1.95	4.1
1.92	4.1
1.37	4.1
1.27	4.1
1.58	4.2
1.43	4.6
1.43	4.6
2.06	4.9
1.27	4.9
1.23	4.9
2.37	5.1
1.90	5.1
1.67	5.2
2.13	6.9
2.31	-
