MITO PO ER
0.40107939 0.03390558 0.56501503
0.39781144 0.03994337 0.56224519
0.37067428 0.02449624 0.60482948
0.38105642 0.02316603 0.59577754
0.40013748 0.03780237 0.56206014
0.36394343 0.02851983 0.60753674
0.36000417 0.02275439 0.61724144
0.38239710 0.13032065 0.48728225
0.35702916 0.05506034 0.58791050
0.34432231 0.03547177 0.62020592
0.33701625 0.01820155 0.64478220
0.33701625 0.01820155 0.64478220
0.33818710 0.01788573 0.64392717
0.34852068 0.01684008 0.63463924
0.35690951 0.01668630 0.62640419
0.39323936 0.01756668 0.58919396
0.39538256 0.01765541 0.58696202
0.41241453 0.01846953 0.56911594
0.42247998 0.01905834 0.55846168
0.32518260 0.01800405 0.65681335
0.36762629 0.01534323 0.61703048
0.32062704 0.02016172 0.65921123
0.46785047 0.01963583 0.51251370
0.31365775 0.01873319 0.66760906
0.49990516 0.03852623 0.46156861
0.44419104 0.08034518 0.47546378
0.39806812 0.17362422 0.42830766
0.39721434 0.15627839 0.44650727
0.39709574 0.15488835 0.44801591
0.39696726 0.15346978 0.44956296
0.39596568 0.14438031 0.45965402
0.39238098 0.13039441 0.47722461
0.39118488 0.12280990 0.48600522
0.39048267 0.11892236 0.49059497
0.38510141 0.09700068 0.51789791
0.37297088 0.07140143 0.55562769
0.36864988 0.06469355 0.56665657
0.36635384 0.06148528 0.57216088
0.36275428 0.05687075 0.58037497
0.35241456 0.04581612 0.60176932
0.34423925 0.03877247 0.61698828
0.34286746 0.03770266 0.61942988
0.34286746 0.03770266 0.61942988
0.32955880 0.02857068 0.64187052
0.32955880 0.02857068 0.64187052
0.32085714 0.02291736 0.65622550
0.31978687 0.02234839 0.65786474
0.31978687 0.02234839 0.65786474
0.31978687 0.02234839 0.65786474
0.31425474 0.01936989 0.66637538
0.31215176 0.01813720 0.66971104
0.31015365 0.01673017 0.67311618
0.30911437 0.01531203 0.67557361
0.30911787 0.01506980 0.67581233
0.30919548 0.01484052 0.67596400
0.30934869 0.01462383 0.67602748
0.30934869 0.01462383 0.67602748
0.30957890 0.01441940 0.67600170
0.31638339 0.01298435 0.67063226
0.31638339 0.01298435 0.67063226
0.31877643 0.01281676 0.66840681
0.32152539 0.01268479 0.66578982
0.32152539 0.01268479 0.66578982
0.32463211 0.01258693 0.66278096
0.32809652 0.01252176 0.65938172
0.34060323 0.01250956 0.64688720
0.34060323 0.01250956 0.64688720
0.34060323 0.01250956 0.64688720
0.35062752 0.01264273 0.63672975
0.35062752 0.01264273 0.63672975
0.35896049 0.01281085 0.62822865
0.36792415 0.01303389 0.61904197
0.38405030 0.01351943 0.60243027
0.38405030 0.01351943 0.60243027
0.40834681 0.01441667 0.57723652
0.42262416 0.01503257 0.56234326
0.42262416 0.01503257 0.56234326
0.42619096 0.01519748 0.55861156
0.44030128 0.01589888 0.54379984
0.44376530 0.01608439 0.54015030
0.45058363 0.01646728 0.53294909
0.45058363 0.01646728 0.53294909
0.46046796 0.01707075 0.52246129
0.47858139 0.01838082 0.50303779
0.48401836 0.01884815 0.49713349
0.49152380 0.01957866 0.48889755
0.51567286 0.02384198 0.46048516
0.51905313 0.02666184 0.45428502
0.51808003 0.02869321 0.45322676
0.51709529 0.02957544 0.45332927
0.50134038 0.03784843 0.46081119
0.39862706 0.17991570 0.42145724
0.32111893 0.02280885 0.65607222
0.35388050 0.01249770 0.63362179
0.36906261 0.01288157 0.61805582
0.45832727 0.01679463 0.52487810
0.49723445 0.01991290 0.48285265
0.39102604 0.10258488 0.50638908
0.34488780 0.03687002 0.61824217
0.34189112 0.03481613 0.62329274
0.31931913 0.02158432 0.65909655
0.31931913 0.02158432 0.65909655
0.31931913 0.02158432 0.65909655
0.31215034 0.01821525 0.66963441
0.30750447 0.01342629 0.67906924
0.53073649 0.03140335 0.43786016
0.38550595 0.07958589 0.53490816
0.38550595 0.07958589 0.53490816
0.54562195 0.02754385 0.42683420
0.40309402 0.18238834 0.41451764
0.40295507 0.07108678 0.52595814
0.40197336 0.06923649 0.52879015
0.39560125 0.06161540 0.54278335
0.37396273 0.04120133 0.58483594
0.35699268 0.03135954 0.61164778
0.35699268 0.03135954 0.61164778
0.34728567 0.02697267 0.62574165
0.31664279 0.01609832 0.66725889
0.31544230 0.01574645 0.66881125
0.30815940 0.01330980 0.67853081
0.31609375 0.01160264 0.67230361
0.32275316 0.01165681 0.66559003
0.32471845 0.01169538 0.66358617
0.32900980 0.01180225 0.65918795
0.32900980 0.01180225 0.65918795
0.33902323 0.01213426 0.64884252
0.34181984 0.01224186 0.64593830
0.36094559 0.01309494 0.62595947
0.38369747 0.01430746 0.60199508
0.38369747 0.01430746 0.60199508
0.38369747 0.01430746 0.60199508
0.38369747 0.01430746 0.60199508
0.42735167 0.01713931 0.55550902
0.46425650 0.02012197 0.51562153
0.46425650 0.02012197 0.51562153
0.46881480 0.02053692 0.51064828
0.46881480 0.02053692 0.51064828
0.48665434 0.02228205 0.49106361
0.49945756 0.02367306 0.47686937
0.52297823 0.02662876 0.45039301
0.58004121 0.04158602 0.37837278
0.58004121 0.04158602 0.37837278
0.58058391 0.04266740 0.37674869
0.58040059 0.04484490 0.37475451
0.57797056 0.04761681 0.37441263
0.34976972 0.02472533 0.62550495
0.34976972 0.02472533 0.62550495
0.31053658 0.01234417 0.67711926
0.31792879 0.01197291 0.67009830
0.38947406 0.01574484 0.59478110
0.49927332 0.02641751 0.47430918
0.37322016 0.02144776 0.60533208
0.55800737 0.09560512 0.34638750
0.39964358 0.19331862 0.40703780
0.39964358 0.19331862 0.40703780
0.41543465 0.17071045 0.41385490
0.43842167 0.11389308 0.44768525
