tmd_gravy,tail_charge
1.772,1.9
1.91,-0.1
2.506,-0.1
1.517,2.9
1.335,-0.1
2.916,1.1
1.896,1.9
0.9,-0.1
0.9,0.9
2.637,1.9
2.705,4.9
1.422,0.9
2.71,-0.1
2.385,-0.1
1.178,-1.1
2.226,0.9
2.533,2.1
2.68,6.1
2.337,0.9
1.348,3.9
3.005,2.9
2.633,-1.1
1.795,-0.1
1.965,0.9
3.2,1.9
1.914,0.9
1.625,-0.1
2.795,1.2
1.691,-1.1
2.62,-1.1
3.394,0.1
2.84,-0.1
2.84,-0.1
1.726,2.9
1.974,-0.1
1.783,1.1
2.326,0.1
3.033,-0.1
2.028,-0.1
2.457,-5.1
1.578,5.1
2.717,0.9
1.826,1.4
1.361,-0.1
2.585,-0.1
2.317,0.9
2.33,1.9
2.283,2.9
2.222,1.1
1.339,0.1
2.148,0.9
1.913,1.9
-1.921,-0.1
2.478,-0.1
1.73,-0.1
3.145,2.2
2.478,0.9
2.835,2.9
2.239,-2.1
1.883,0.9
2.474,0.9
2.083,-1.1
2.83,-0.1
2.209,1.9
3.022,1.1
1.017,-2.1
2.1,2.1
2.7,0.9
2.839,1.1
2.876,2.9
2.943,-0.1
2.574,0.9
2.839,1.9
2.404,2.9
2.23,0.9
2.717,-0.1
2.539,-1.1
3.126,0.9
2.422,-2.1
2.67,1.9
2.696,1.9
2.661,3.1
2.565,-1.1
3.313,-0.1
2.996,0.9
1.9,0.9
2.296,-0.1
2.387,-0.1
2.57,-0.8
2.774,1.1
2.104,-0.1
3.486,-1.1
2.313,-0.1
2.314,-1.8
2.478,0.9
2.604,1.1
3.165,-1.1
3.222,0.9
2.274,-0.1
3.326,-1.1
1.739,3.9
2.626,2.1
1.657,1.9
2.374,3.9
2.73,0.9
2.178,-1.1
2.235,0.9
2.591,2.1
2.2,0.1
2.744,2.6
2.69,0.9
1.73,1.9
2.491,-2.1
2.735,-0.1
2.261,-0.1
1.922,1.2
2.6,7.1
2.29,4.1
3.53,-1.1
1.935,1.9
2.91,1.9
0.974,-1.1
3.517,-2.1
1.435,0.9
2.422,7.1
1.148,-0.1
3.017,0.9
2.265,-0.1
2.291,0.9
2.604,0.9
1.93,-0.1
2.122,1.9
2.165,1.3
2.752,-0.1
2.052,-0.1
1.487,1.2
2.73,3.9
1.983,-0.1
3.2,-0.1
