tmd_gravy,tail_charge
1.943,3.9
1.604,4.1
2.278,1.9
1.695,3.9
1.948,5.9
2.435,0.9
2.275,1.9
1.748,-0.1
1.97,3.9
2.405,5.9
2.394,1.9
1.9,-0.1
2.506,0.9
1.174,-0.1
2.191,2.1
3.343,-1.1
2.996,4.1
1.917,1.9
2.318,0.9
2.239,4.9
1.73,-0.1
3.048,2.4
2.087,2.1
2.491,3.1
2.548,-0.1
2.717,2.9
3.304,-2.1
2.404,2.9
2.944,-0.1
3.232,4.9
1.94,0.9
2.187,0.9
2.361,-0.1
2.06,0.9
2.239,-0.1
2.296,2.9
2.187,0.9
2.839,2.9
2.53,0.9
2.143,1.9
2.23,1.9
1.835,-0.1
2.661,-0.1
2.057,1.9
2.057,1.9
2.339,5.6
2.448,1.9
0.105,-0.1
1.526,4.1
2.025,2.1
2.035,1.9
3.187,2.9
2.217,1.9
2.283,3.1
2.243,3.9
2.291,0.9
2.71,-0.1
3.216,4.9
2.243,2.1
2.704,3.1
3.078,3.9
3.153,3.9
2.025,0.9
1.99,2.9
2.716,-0.1
1.99,-0.1
2.722,1.9
1.527,0.9
2.409,0.9
1.978,0.9
2.761,1.1
2.278,1.9
3.005,4.9
2.57,1.9
2.004,4.4
3.026,2.8
2.243,2.1
2.674,2.9
2.325,-0.1
2.217,1.9
1.8,4.1
1.96,1.9
2.771,2.9
1.313,-0.1
2.448,1.9
2.143,1.9
1.835,-0.1
1.896,1.9
2.23,1.9
1.943,1.2
1.67,0.1
3.239,2.9
2.157,1.9
2.222,-0.1
1.943,1.2
2.005,-2.1
1.313,1.9
2.222,-0.1
1.943,1.2
2.126,4.9
2,4.9
2.33,2.2
2.635,-0.1
1.243,-0.1
2.143,1.9
2.143,1.9
1.096,1.9
1.787,4.1
2.222,-0.1
2.222,-0.1
1.6,1.9
2.126,4.9
1.929,4.1
2.07,4.1
2.157,1.9
2.05,-0.1
1.943,1.2
2.126,4.9
2.126,4.9
2.126,4.9
2.222,-0.1
2.222,-0.1
1.987,-3.1
2.157,1.9
2.157,1.9
2,3.9
1.57,0.9
2.222,-0.1
1.678,1.9
2.126,4.9
1.643,-2.8
1.739,1.9
1.176,-1.1
2.126,4.9
2.413,-0.2
2.213,-0.1
2.126,2.9
1.904,7.1
2.222,-0.1
2.126,4.9
2.222,-0.1
