tmd_gravy,tail_charge
1.894,-1.1
1.606,4.1
1.578,-0.1
1.109,0.9
1.686,0.9
0.796,4.9
2.005,0.9
1.728,0.9
1.378,5.9
1.687,0.9
2.394,2.9
2.328,-0.1
1.509,-0.1
1.933,0.9
1.417,1.1
2.189,-0.1
2.517,0.9
2.247,-0.1
2.474,3.1
0.839,0.9
2.539,3.1
1.975,0.9
1.565,-0.1
3.256,-0.1
2.14,4.1
2.18,-0.1
1.374,1.9
2.225,-0.1
2.29,0.9
1.963,0.9
2.85,5.1
1.017,4.1
1.565,0.9
1.548,-0.1
2.21,0.9
2.565,1.9
2.6,-0.1
1.95,0.1
1.55,5.9
2.735,-0.1
2.889,5.1
1.174,0.2
2.633,1.9
2.039,3.9
1.404,2.9
1.661,-0.1
1.852,-0.1
1.904,-0.1
2.611,1.9
2.304,-1.1
1.713,0.1
1.517,-0.1
2.339,1.9
2.639,2.9
2.091,-0.1
2.243,0.9
2.013,0.9
2.452,0.9
2.8,0.9
2.035,3.1
2.19,0.9
1.917,-0.1
2.357,1.9
1.561,-0.1
1.304,0.9
2.35,-0.1
2.709,-0.1
2.087,0.2
1.787,0.9
1.678,1.1
1.596,0.9
2.696,0.9
1.148,-0.1
2.217,3.9
1.652,0.9
2.761,3.9
2.335,2.9
1.712,-0.1
1.843,-0.1
1.783,0.9
1.417,0.9
1.295,3.9
2.413,3.9
2.185,1.9
2.087,-0.1
1.8,1.9
2.357,-2.1
2.217,5.4
1.957,-0.1
2.335,0.9
2.422,-0.1
2.13,-0.1
2.874,-0.1
1.435,-0.1
2.748,-1.8
1.878,1.9
2.5,0.9
2.665,1.9
2.343,2.9
1.778,-0.1
1.767,-0.1
1.248,0.9
0.713,1.8
2.891,-1.1
2.165,-0.1
1.722,3.9
1.874,0.9
1.513,-0.1
2.113,-0.1
2.139,-1.1
1.425,2.9
2.261,-0.1
1.387,-1.1
1.24,4.1
1.574,-0.1
2.452,0.9
1.578,3.4
2.387,-1.1
2.087,5.9
1.85,-0.8
1.6,2.9
1.196,0.9
1.767,1.1
2.178,0.9
1.97,-0.1
2.561,1.9
2.248,3.9
2.422,2.4
1.957,-0.1
2.17,4.9
2.387,-1.1
1.49,0.9
2.626,0.9
1.922,2.9
1.539,3.1
1.409,-0.1
2.444,0.9
1.53,-2.1
1.422,5.9
