tmd_gravy,tail_charge
2.026,1.2
2.743,-0.8
1.287,0.9
1.03,0.9
2.091,5.1
1.735,3.1
2.435,1.9
2.604,1.9
3.017,-0.1
1.735,0.4
2.544,2.9
1.967,0.9
2.096,3.9
2.47,-0.1
2.352,-2.1
1.604,0.9
1.748,1.9
2.783,3.9
1.639,3.9
2.243,0.9
1.785,1.9
1.843,0.9
1.7,0.9
2.648,1.9
2.183,-0.1
2.372,0.9
1.8,4.9
1.3,-0.1
1.709,-0.1
1.896,0.9
2.295,-0.1
1.9,5.9
2.878,1.9
1.952,1.9
2.191,3.1
2.261,3.9
1.9,-1.1
1.617,-0.1
1.491,-0.1
1.491,-0.1
2.535,3.1
2.544,0.9
2,0.9
1.804,2.1
2.242,0.9
2.5,3.8
2.335,-0.1
3.03,-1.1
2.817,-1.1
2.316,2.9
2.175,1.9
2.93,-2.1
2.475,2.9
2.661,-0.1
2.661,2.9
2.213,-0.1
2.67,2.9
3.022,1.1
2.596,2.2
2.887,-0.1
2.715,-1.1
1.022,-1.1
2.387,2.9
3.152,0.9
2.852,1.9
3.035,-1.1
3.27,0.9
3.165,0.9
3.27,0.9
3.11,2.9
3.226,4.9
2.526,1.9
2.22,3.8
2.591,-3.9
1.922,0.9
3.504,2.9
1.839,1.9
2.578,2.9
2.635,0.9
2.709,1.9
3.33,4.9
2.809,4.9
3.283,3.9
2.696,3.9
2.261,2.9
2.204,1.9
1.787,-0.1
2.578,1.9
2.445,0.9
2.057,3.4
2.348,-0.1
1.887,-0.1
1.996,3.9
2.487,2.9
2.326,4.9
1.97,1.2
2.478,1.9
2.528,2.9
3.148,3.9
