tmd_gravy,tail_charge
2.283,1.9
2.455,5.9
1.739,0.9
1.859,1.9
2.567,0.1
2.122,1.9
1.596,2.9
2.496,-0.1
3.484,2.9
1.574,3.9
1.678,0.9
2.167,1.9
2.091,0.9
1.835,-0.1
1.835,-0.1
2.717,-0.1
2.196,0.9
2.789,3.9
1.652,2.1
3.21,4.9
2,-1.1
3.013,6.9
2.174,2.1
2.057,-1.1
2.661,2.9
1.396,-2.1
1.65,1.9
2.705,1.9
1.81,-0.1
1.935,0.2
2.004,-0.1
2.86,0.9
2.291,1.9
2.17,-1.1
2.158,1.9
3.3,1.9
2.82,0.9
2.061,5.9
1.178,0.9
3.348,0.9
3.172,0.9
2.178,1.2
2.474,4.1
2.461,3.9
1.278,3.9
2.267,-0.1
0.991,-0.8
2.609,-0.1
2.358,2.9
2.7,0.9
2.665,1.9
2.787,3.9
2.6,1.9
1.683,5.1
2.248,7.9
1.322,-1.1
1.948,-0.1
2.261,9.9
1.865,1.1
3.265,3.9
2.365,2.1
2.905,0.9
2.83,1.9
1.357,-0.8
2.9,2.9
2.383,-0.1
2.039,4.9
1.874,4.9
1.65,-1.1
0.939,-1.1
2.287,0.9
2.628,3.9
2.6,10.1
2.93,2.4
1.639,-0.1
1.735,-0.1
2.935,0.9
1.135,1.9
1.994,1.9
0.809,-1.1
1.77,-2.1
2.535,-2.1
2.311,0.9
3.028,0.9
2.883,0.9
1.043,-0.1
3.355,-0.1
2.143,1.9
